heading,description
"MP polls: BJP releases second list, Union ministers Narendra Singh Tomar, Prahlad Singh to contest","In its list of 39 candidates, the party also fielded its national general secretary Kailash Vijayvargiya from Indore-1 seat."
AIADMK snaps ties with BJP-led NDA alliance ahead of 2024 Lok Sabha polls,"The move, the party said, is a protest against BJP's attacks and defamatory statements on AIADMK and their leaders for over a year."
"Raipur’s ‘village of YouTubers’ catches Collector’s attention, gets Rs 25 lakh studioPremium Story","Raipur Collector says, “I was astonished to discover the number of YouTubers in the village. While interacting with them, I realised that their capacity could be enhanced. That’s how the idea for the studio was born."""
"A week after ‘normal’ date, southwest monsoon withdraws from parts of Rajasthan","The line of withdrawal of the southwest monsoon passes through Barmer, Jodhpur and Nokhra, according to the IMD."
"Slapping of Muzaffarnagar student: SC raises objections over probe, delay in filing FIR; IPS officer to monitor investigation","Conveying the bench’s anguish, Justice Oka said, “If the allegations are true, this should shock the conscience of the state."""
Lookout notice issued against vlogger in Kerala,"According to the complaint, the accused allegedly attempted to outrage the modesty of the foreign national."
"‘Rusted iron’: Eye on Assembly polls, PM Modi hits out at Congress in Madhya Pradesh’s Bhopal","""Wherever Congress has gone, they have destroyed the states. MP needs to be saved; we can't see the state getting looted,"" PM Modi said."
"Rajnath Singh inaugurates Bharat Drone Shakti exhibition 2023, inducts C-295 MW aircraft","In September 2021, India formalised the acquisition of 56 Airbus C295 aircraft at a cost of Rs 21,935 crore."
"Radha Soami followers clash with cops in Agra, over 30 injured","The police team tried to persuade them to clear the area but they allegedly started pelting stones and some of the women followers, wearing Army-like uniforms, attacked the police."
"Why are Rahul Gandhi, Congress party silent when Sharad Pawar is seen with Adani: Assam CM Himanta Biswa Sarma","This comes a day after Congress leader Rahul Gandhi spoke about a ""financial attack"" and the influence of the ruling BJP party on businessmen in the country."
Special PMLA court issues notices to 4 Congress leaders in Chhattisgarh coal levy case,Accused asked to be present before the court on October 25
"State of possibilities, home to India’s youngest: Yogi invites investors to UP",He was speaking at a business conclave with the representatives of the companies.
Dispose unclaimed bodies respectfully if no kin come: SC panel on Manipur,"In a statement last week, the Manipur police disclosed that 96 bodies continue to remain unclaimed in the morgues. Since the police have placed the number of those killed at 175, this suggests that more than half of the dead are yet to be put to rest."
PM Modi compared Urjit Patel to ‘snake who sits on hoard of money’: Ex-Finance Secy,One of the contentious issues between the RBI and the government was the surplus transfer of the RBI.
"India-Canada standoff: US looks to dial down tension, Jaishankar takes swipe at Trudeau","This comes even as External Affairs Minister S Jaishankar, who is in New York, said it is still a world of “double standards” and countries occupying “positions of influence” are “resisting the pressure to change” and those with “institutional influence or historical influence” have “actually weaponised a lot of those capabilities”."
"Purpose behind overhaul of criminal laws is to give justice to people, not punishment: Amit Shah at Bar event","The three Bills — Bharatiya Nyaya Sanhita (BNS-2023), Bharatiya Nagarik Suraksha Sanhita (BNSS-2023) and the Bharatiya Sakshya Adhiniyam (BSA-2023) — were introduced by the Centre in Lok Sabha on August 11."
Those who condoned Kanishka bombing continue to find sympathisers: Hardeep Puri,Puri’s remarks come days after Canadian Prime Minister Justin Trudeau said his government had credible allegations of Indian agents being linked to Nijjar’s killing in Canada in June - which was denied by India.
"Your antics are fooling no one, you do not like that Modi govt built new Parliament building: Pralhad Joshi to Jairam Ramesh","He was responding to Ramesh's criticism a day before that the new Parliament building's architecture has killed democracy and conversations. The Congress leader had derisively said that the building should be called a ""Modi Multiplex or Modi Marriot""."
2 MLAs among 4 Chhattisgarh Congress leaders served court notices in ED’s coal levy case,Rs 540 was allegedly collected illegally from coal-consumption companies by middlemen in connivance with politicians and bureaucrats.
‘Narrative being set for lynching me’: MP Danish Ali on Nishikant Dubey’s allegations,"Responding to Nishikanth Dubey's allegations, Danish Ali said, “My verbal lynching was done inside the House and now this is a narrative to get me lynched outside the House."""
Row over Bidhuri’s remarks: Another BJP MP urges Speaker to probe Danish Ali’s conduct,The Lok Sabha MP from Gorakhpur said that some “unprecedented and unparliamentary things” happened on September 21 in Lok Sabha. BJP member Ramesh Bidhuri used “some objectionable and inappropriate words” against the BSP member in the House.
"PM Modi flags off 9 new Vande Bharat trains: Routes, timings and other details","With these nine trains, which will improve connectivity Rajasthan, Tamil Nadu, Telangana, Andhra Pradesh, Karnataka, Bihar, West Bengal, Kerala, Odisha, Jharkhand and Gujarat, the total number of Vande Bharat trains has increased to 34."
It is still a world of double standards: EAM Jaishankar,"Jaishankar was speaking at a Ministerial Session titled ‘South Rising: Partnerships, Institutions and Ideas' hosted by the Observer Research Foundation, in collaboration with the Permanent Mission of India to the United Nations, United Nations India and the Reliance Foundation."
Stranded German tourist rescued by police in Ladakh,"In a video message shared by police, the tourist praised his rescuers and said he was in the middle of his trek when he suddenly fell sick and decided to seek help for his rescue after he could not arrange a horse to bring him back."
"Army, CGDA synergy facilitates release of Rs 400 cr in pending dues to JCOs, other ranks","Majority of the claims pertained to house rent allowances, pay fixation cases and education allowances to children of the Army personnel, they said."
"‘BJP in for a surprise in 2024’: Rahul Gandhi on Bhiduri’s remarks, ‘controlling the narrative’, and women’s reservation bill","Rahul Gandhi criticised the concept of 'One Nation, One Election,' characterising it as another strategy by the BJP to distract “from real issues of the people”."
